,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
27,Bellflower,2013,Los Angeles,0.675,0.73255814,"(0.65, 0.8]",Good,Good,75944,31.3,50.9,21.7,12.5,11.9,36628,33957,2671,7.3,58,26.7,50565,13.1,25446,49.6,8.4,19.2,4.5,423400,1094,"Bellflower, CA, USA",33.8825705,-118.1167679
28,Belmont,2013,San Mateo,0.745283019,0.717821782,"(0.65, 0.8]",Good,Good,25281,39.3,11.4,60.3,2,20.4,14518,13663,855,5.9,64.9,25.4,99913,3.6,10859,58.1,5.9,20.9,5.2,900100,1392,"Belmont, CA, USA",37.5202145,-122.2758008
29,Benicia,2013,Solano,0.533333333,0.521459227,"(0.5, 0.65]",Okay,Okay,26959,45,11.6,70.8,4.2,7.5,15372,14630,742,4.8,65.9,29.7,87018,5.2,11905,65.9,7.5,3.4,5.6,515200,1243,"Benicia, CA, USA",38.049365,-122.1585777
30,Berkeley,2013,Alameda,0.776923077,0.767857143,"(0.65, 0.8]",Good,Good,109408,31.6,11.2,53.9,9.4,20.6,56531,52737,3794,6.7,56.1,25.6,58617,18.9,46926,42.3,4.2,14.5,4.3,731100,1177,"Berkeley, CA, USA",37.8708393,-122.2728639
31,Big Bear Lake,2013,San Bernardino,0.709923664,0.666123779,"(0.65, 0.8]",Good,Good,5171,40.3,22.1,74.3,0.7,0,2049,1859,190,9.3,40.8,12.7,32299,21.1,9592,83.6,0.9,3.7,4.8,390500,934,"Big Bear Lake, CA, USA",34.253293,-116.9322097
32,Blue Lake,2013,Humboldt,0.931937173,0.980180394,"(0.8, 1.0]",Great,Great,1293,31.3,5.6,83.4,2.2,0.5,697,681,16,2.3,61.6,17,48750,14.5,632,63.3,1.9,1.4,5,324500,874,"Blue Lake, CA, USA",40.882907,-123.983949
33,Blythe,2013,Riverside,0.674418605,0.741496599,"(0.65, 0.8]",Good,Good,21164,34.7,49.9,30.4,15.8,1.8,5586,5086,500,9,53.9,14.8,41856,16.8,5686,58.5,2.5,2.8,5,174700,658,"Blythe, CA, USA",33.5603938,-114.9120691
34,Brea,2013,Orange,0.552173913,0.53960396,"(0.5, 0.65]",Okay,Okay,38427,37.8,22.5,57.2,1.1,17.1,21219,19761,1458,6.9,62.5,28.2,79647,5.7,14910,56.6,9.6,12,5.5,598600,1351,"Brea, CA, USA",33.9170444,-117.8888557
35,Brentwood,2013,Contra Costa,0.724137931,0.741428571,"(0.65, 0.8]",Good,Good,46283,34.8,27,55.2,5.6,7.4,20935,19385,1550,7.4,57,39.7,89515,5.4,16094,86.9,3.5,3.7,6.7,471600,1567,"Brentwood, CA, USA",37.9317766,-121.6960266
36,Brisbane,2013,San Mateo,0.792899408,0.670886076,"(0.65, 0.8]",Good,Good,4098,40.8,25.1,40.6,0.8,27.7,2680,2395,285,10.6,72,25.4,90156,6.1,1788,57.1,12.1,5.1,4.8,695400,1333,"Brisbane, CA, USA",37.6807661,-122.3999715
37,Buellton,2013,Santa Barbara,0.727272727,0.793010753,"(0.65, 0.8]",Good,Good,4609,38.9,40.1,52.2,0,3.3,2759,2597,162,5.9,68.6,23.3,63988,7.3,1551,67.3,4.3,0.6,5.4,561100,1313,"Buellton, CA, USA",34.6134727,-120.1936692
38,Buena Park,2013,Orange,0.658730159,0.666666667,"(0.65, 0.8]",Good,Good,79744,34.4,36.5,29.3,4.1,27.3,39823,37046,2777,7,58.9,28.1,63295,9.8,23895,58.2,7.3,14.2,5.3,485000,1341,"Buena Park, CA, USA",33.870413,-117.9962165
39,Burbank,2013,Los Angeles,0.736842105,0.754098361,"(0.65, 0.8]",Good,Good,102723,38.6,24.7,60,2,11,57740,53812,3928,6.8,61.9,25.2,63356,8.2,43446,44.7,4.3,19.2,4.3,608800,1299,"Burbank, CA, USA",34.1816482,-118.3258554
40,Burlingame,2013,San Mateo,0.668674699,0.666666667,"(0.65, 0.8]",Good,Good,28204,40.5,11.2,64.8,1.7,18.6,14815,13845,970,6.5,56.8,25.9,81849,7.2,12347,48.3,4.4,16.3,4.8,1000000,1338,"Burlingame, CA, USA",37.5841026,-122.3660825
41,Calabasas,2013,Los Angeles,0.709302326,0.715517241,"(0.65, 0.8]",Good,Good,22686,42.5,7.3,76.9,2.6,10.5,11574,10717,857,7.4,55.7,29.9,116403,6,8686,68.7,7.5,6.5,6.8,962700,1853,"Calabasas, CA, USA",34.1446643,-118.6440973
42,California City,2013,Kern,0.635135135,0.736895161,"(0.5, 0.65]",Good,Okay,13264,32.6,24.9,55.9,13.4,2.1,5883,4781,1102,18.7,59.7,30.2,47038,23,5495,77.5,1.9,1.1,5.4,174400,907,"California City, CA, USA",35.125801,-117.9859038
43,Calimesa,2013,Riverside,0.614583333,0.404624277,"(0.5, 0.65]",Low,Okay,7869,48.3,23.2,72.4,0.6,0.8,3207,2956,251,7.8,41.3,32.9,48945,13.7,3500,59.4,3.5,0,5.3,233700,1183,"Calimesa, CA, USA",34.0039044,-117.0619774
44,Camarillo,2013,Ventura,0.727272727,0.691489362,"(0.65, 0.8]",Good,Good,63599,40.6,23.4,62.1,1.8,9.4,32521,30261,2260,6.9,56.9,22,81518,4.7,24667,61.3,17.6,6.3,5.9,558200,1507,"Camarillo, CA, USA",34.2163939,-119.0376024
45,Campbell,2013,Santa Clara,0.605769231,0.578313253,"(0.5, 0.65]",Okay,Okay,38692,37.2,17.8,59.2,1.8,15.5,22832,21426,1406,6.2,66.2,23.2,79464,7.6,17058,45,13.1,15.5,4.8,698400,1364,"Campbell, CA, USA",37.2883259,-121.9456328
46,Canyon Lake,2013,Riverside,0.65625,0.61744186,"(0.65, 0.8]",Okay,Good,10618,42.5,9.1,84.7,0.4,2.5,5289,4702,587,11.1,55.5,43,83845,5,4233,92.3,3,0,6.2,446600,1981,"Canyon Lake, CA, USA",33.6836539,-117.2626151
47,Capitola,2013,Santa Cruz,0.658730159,0.648148148,"(0.65, 0.8]",Okay,Good,9801,42.9,16.5,75.6,1.1,3.1,5716,5224,492,8.6,64.3,26,52389,9.4,5616,29.6,10.7,9.6,4.2,531900,1372,"Capitola, CA, USA",36.9762927,-121.9540577
48,Carlsbad,2013,San Diego,0.613095238,0.583969466,"(0.5, 0.65]",Okay,Okay,99753,39.9,13.3,76.1,0.8,7.2,51426,48104,3322,6.5,58.5,28.7,84728,7.2,43619,52.4,16.8,10.2,5.7,656000,1519,"Carlsbad, CA, USA",33.1580933,-117.3505966
49,Carmel-by-the-Sea,2013,Monterey,0.761006289,0.739224138,"(0.65, 0.8]",Good,Good,3725,56.5,8.5,81.5,1.4,8.6,1797,1769,28,1.6,49.2,13.4,74489,4.9,3606,82.1,5.1,0.8,5,1000000,1692,"Carmel-by-the-Sea, CA, USA",36.5552387,-121.9232879
50,Carpinteria,2013,Santa Barbara,0.752873563,0.775462963,"(0.65, 0.8]",Good,Good,13122,40.5,45.7,47.4,0.3,3.3,7591,7018,573,7.5,65.6,20.3,63834,10.7,5472,39.7,7.9,5.5,4.6,669200,1353,"Carpinteria, CA, USA",34.3988838,-119.5184564
51,Carson,2013,Los Angeles,0.626943005,0.663538874,"(0.5, 0.65]",Good,Okay,91299,36.1,37.5,7.4,22.9,25.8,46740,42370,4370,9.3,61.2,25.6,68425,8,25705,70.6,9.1,5.6,5.5,422100,1190,"Carson, CA, USA",33.8322043,-118.2517547
52,Cathedral City,2013,Riverside,0.702898551,0.615141956,"(0.65, 0.8]",Okay,Good,50597,36.5,56.5,36.7,1.5,3.4,24661,22435,2226,9,58.1,19.6,45693,16.3,22437,55.7,13.5,2.7,5,294500,1046,"Cathedral City, CA, USA",33.7810031,-116.4640765
53,Cerritos,2013,Los Angeles,0.677419355,0.656976744,"(0.65, 0.8]",Good,Good,49432,42,11.1,15.6,6.8,62.8,24202,22497,1705,7,55.1,30,88743,6.1,15175,84.6,8.9,2.5,6.2,633500,1915,"Cerritos, CA, USA",33.8644291,-118.0539323
54,Chico,2013,Butte,0.629032258,0.552631579,"(0.5, 0.65]",Okay,Okay,85130,28.2,14.8,73.8,1.7,4.6,45533,40575,4958,10.9,60.9,17.1,41835,21.2,37594,53.5,4.4,9.1,4.9,312000,901,"Chico, CA, USA",39.7284945,-121.8374777
55,Chino,2013,San Bernardino,0.723404255,0.67816092,"(0.65, 0.8]",Good,Good,77729,32.4,53.1,28.5,5.8,9.7,36464,33052,3412,9.4,57.4,30.7,71659,6.2,21121,71.5,5.5,8.2,5.8,425000,1200,"Chino, CA, USA",34.0133561,-117.690075
56,Chino Hills,2013,San Bernardino,0.648648649,0.7890625,"(0.5, 0.65]",Good,Okay,74410,34.7,28.3,35.8,4.2,28.2,40857,37644,3213,7.9,65.6,36.7,103891,4.1,23170,81.8,3.7,3.6,6.5,567100,1760,"Chino Hills, CA, USA",33.9926803,-117.760056
57,Chowchilla,2013,Madera,0.73,0.869646182,"(0.65, 0.8]",Great,Good,18090,33.9,39.1,44,10.8,1.4,4068,3698,370,9.1,16.2,31.4,39902,18.4,3832,82,1.8,0.6,5.2,208200,867,"Chowchilla, CA, USA",37.1122005,-120.2864256
58,Chula Vista,2013,San Diego,0.669811321,0.673245614,"(0.65, 0.8]",Good,Good,229614,33.4,55.9,22.2,4.5,13.9,110255,100528,9727,8.8,59.2,26.8,63779,9.6,80281,54.8,10.6,14.7,5.2,445000,1201,"Chula Vista, CA, USA",32.6400541,-117.0841955
59,Claremont,2013,Los Angeles,0.660377358,0.673913043,"(0.65, 0.8]",Good,Good,34713,36.4,20.5,60.3,4,10.2,17131,15937,1194,7,54.6,26.8,82015,6.4,11606,66.8,9.9,7.2,5.8,594600,1162,"Claremont, CA, USA",34.0966764,-117.7197785
60,Clayton,2013,Contra Costa,0.634146341,0.656887755,"(0.5, 0.65]",Good,Okay,10819,42.7,6.5,81.3,0.9,7.4,5631,5314,317,5.6,59.9,31.8,135643,3.1,3945,81.8,13.2,2.2,7.2,685400,1830,"Clayton, CA, USA",37.9410341,-121.9357925
61,Clearlake,2013,Lake,0.709302326,0.694690265,"(0.65, 0.8]",Good,Good,15074,37.5,22.1,67.2,4.3,0.5,5753,4866,887,15.4,48.1,27.6,26382,32.9,8487,52.2,2,3.8,4.3,145500,765,"Clearlake, CA, USA",38.9582307,-122.6263728
62,Clovis,2013,Fresno,0.680851064,0.648387097,"(0.65, 0.8]",Okay,Good,91166,33.8,24.5,59.3,3.2,8.9,46237,42025,4212,9.1,60.8,20.9,63229,10.2,34155,70.3,2.2,7.2,5.6,314700,951,"Clovis, CA, USA",36.8252277,-119.7029194
63,Coachella,2013,Riverside,0.780701754,0.634146341,"(0.65, 0.8]",Okay,Good,38144,24.4,95.2,2.8,0.7,0,17053,14516,2537,14.9,61.8,20.3,43018,23.7,9341,69.8,3.1,1.9,5.4,204200,833,"Coachella, CA, USA",33.68656595,-116.1532775
64,Coalinga,2013,Fresno,0.631578947,0.650205761,"(0.5, 0.65]",Good,Okay,13086,33.3,48.6,37.2,9.5,1.7,3529,3363,166,4.7,54.5,17.3,46229,23.3,2902,65,1.1,4.3,5.1,204300,805,"Coalinga, CA, USA",36.16099095,-120.2945457
65,Colfax,2013,Placer,0.803571429,0.743801653,"(0.8, 1.0]",Good,Great,1766,44.6,4.3,89.7,0,2.3,958,846,112,11.7,59.3,23.9,51667,6,854,65.5,5.2,1.3,5.1,315500,859,"Colfax, CA, USA",39.092034,-120.9405844
66,Colma,2013,San Mateo,0.867924528,0.852,"(0.8, 1.0]",Great,Great,1527,33.6,44.1,18.3,1.2,33.9,1065,998,67,6.3,85.3,26.2,83750,2.8,491,46.2,25.3,3.9,5.2,627700,1572,"Colma, CA, USA",37.6768779,-122.459695
67,Colton,2013,San Bernardino,0.74025974,0.733031674,"(0.65, 0.8]",Good,Good,52187,28.5,68.1,13.9,10.3,5.4,24264,21661,2603,10.7,60.8,25.9,43373,17.9,16597,58.4,3.5,6.9,4.9,255100,993,"Colton, CA, USA",34.0739016,-117.3136547
68,Commerce,2013,Los Angeles,0.720321932,0.705035971,"(0.65, 0.8]",Good,Good,12758,28.1,91.3,3.3,2,1.8,5182,4715,467,9,45.7,25.8,50667,13.8,3210,68.5,9.5,7.6,4.4,389600,894,"Commerce, CA, USA",34.002581,-118.156586
69,Compton,2013,Los Angeles,0.586206897,0.575630252,"(0.5, 0.65]",Okay,Okay,95761,26.4,63.6,0.6,32.9,0.2,40185,34953,5232,13,52.6,28.1,43201,22.8,25085,68.6,9.4,3.3,4.9,330100,929,"Compton, CA, USA",33.894927,-118.226624
70,Concord,2013,Contra Costa,0.684210526,0.58677686,"(0.65, 0.8]",Okay,Good,121326,36.9,28.5,52.8,2.9,11.1,67804,62173,5631,8.3,63.8,29.5,65123,9.6,48071,58,6.8,14.4,5.2,470200,1188,"Concord, CA, USA",37.9768525,-122.0335624
72,Corona,2013,Riverside,0.668604651,0.615591398,"(0.65, 0.8]",Okay,Good,150497,31.5,42.8,39,5.4,8.9,78090,69944,8146,10.4,62.7,33.3,79180,8.9,45910,69.4,4.5,7.1,6,435500,1280,"Corona, CA, USA",33.8752945,-117.5664449
73,Coronado,2013,San Diego,0.5875,0.725512528,"(0.5, 0.65]",Good,Okay,19721,38.8,15.6,75.5,3.4,2.9,6957,6552,405,5.8,52.8,20.1,91071,6.1,8659,45.4,10.7,24.9,4.8,1000000,1657,"Coronado, CA, USA",32.6858854,-117.1830891
74,Costa Mesa,2013,Orange,0.7,0.685840708,"(0.65, 0.8]",Good,Good,109316,33.7,34.2,52.9,1,8.8,64572,59885,4687,7.3,65.3,22.3,64864,13.3,42867,39.4,10.2,20.8,4.4,644900,1422,"Costa Mesa, CA, USA",33.6633386,-117.903317
76,Covina,2013,Los Angeles,0.696721311,0.667910448,"(0.65, 0.8]",Good,Good,47533,34.9,49,33,4.5,10.7,24738,22023,2715,11,61.2,31.5,64141,10.7,15976,58.1,9,12.9,5.3,446600,1176,"Covina, CA, USA",34.1024,-117.854865
77,Cudahy,2013,Los Angeles,0.576923077,0.656762295,"(0.5, 0.65]",Good,Okay,23854,26,95.8,2.1,0.4,0.9,10341,9295,1046,10.1,49.2,32,41805,24.3,5869,54.2,5.6,10.4,4.1,350300,1046,"Cudahy, CA, USA",33.9605701,-118.1853486
78,Culver City,2013,Los Angeles,0.657303371,0.710843373,"(0.65, 0.8]",Good,Good,38827,40.7,23.5,47.2,10.4,14.6,22409,20973,1436,6.4,66.3,25,72199,7.2,17558,39.6,9.1,24.3,4.6,618600,1394,"Culver City, CA, USA",34.0211224,-118.3964665
79,Cupertino,2013,Santa Clara,0.61627907,0.660493827,"(0.5, 0.65]",Good,Okay,56498,39.2,4.2,33,0.9,58.6,26742,24897,1845,6.9,51.1,24,120201,4.6,20670,57.4,12.2,13.3,5.4,993500,1932,"Cupertino, CA, USA",37.3230107,-122.0322519
80,Cypress,2013,Orange,0.638888889,0.636585366,"(0.5, 0.65]",Okay,Okay,47314,39.8,16.3,46.8,2.1,31,24830,23330,1500,6,60,27.6,83196,6.3,16335,61.1,16,10,5.8,591000,1419,"Cypress, CA, USA",33.8248235,-118.0399368
81,Daly City,2013,San Mateo,0.442307692,0.517857143,"(0.0, 0.5]",Okay,Low,99829,38.5,24.1,14.3,2.7,55,56402,51476,4926,8.7,63,28.4,74987,7,32569,48.5,14.6,14.8,4.8,611200,1396,"Daly City, CA, USA",37.7057671,-122.4619205
82,Dana Point,2013,Orange,0.705479452,0.714545455,"(0.65, 0.8]",Good,Good,33484,44.7,13.1,81,0.4,2.6,18487,17315,1172,6.3,56.6,26.8,80609,5.5,16067,54.6,12.5,4.5,5.5,827200,1764,"Dana Point, CA, USA",33.4669721,-117.6981075
83,Davis,2013,Yolo,0.644736842,0.629518072,"(0.5, 0.65]",Okay,Okay,64842,25.4,13,58.8,2.2,20.3,33920,31264,2656,7.8,57,20,59517,23.5,25502,47,8.6,15.4,5.1,571600,1207,"Davis, CA, USA",38.545379,-121.7445835
84,Del Mar,2013,San Diego,0.689655172,0.784552846,"(0.65, 0.8]",Good,Good,4178,50.4,0,93.9,0,1.7,2348,2296,52,2.2,56.8,24.1,112566,3.7,2712,51.1,19.9,11,5.2,1000000,1839,"Del Mar, CA, USA",32.9594891,-117.2653146
86,Del Rey Oaks,2013,Monterey,0.666666667,0.816666667,"(0.65, 0.8]",Great,Good,1774,43.7,14.9,75.4,1.1,4,912,868,44,4.8,58.2,16.6,81154,4,752,79.1,3.3,2.5,5.3,653200,1815,"Del Rey Oaks, CA, USA",36.5932934,-121.8349515
87,Delano,2013,Kern,0.4625,0.508403361,"(0.0, 0.5]",Okay,Low,51310,29.5,71.3,7.8,5.2,13.8,17689,15342,2347,13.3,56.2,24.3,35673,27.7,10871,70.5,4.4,2.6,5.2,184300,690,"Delano, CA, USA",35.7688425,-119.2470536
88,Desert Hot Springs,2013,Riverside,0.552631579,0.441082803,"(0.5, 0.65]",Low,Okay,24675,30.3,50.4,34.6,7.4,1.7,10716,8991,1725,16.1,53.9,31.8,36326,24.9,10817,65.4,1.7,2.5,4.9,202000,870,"Desert Hot Springs, CA, USA",33.961124,-116.5016784
89,Diamond Bar,2013,Los Angeles,0.641304348,0.638728324,"(0.5, 0.65]",Okay,Okay,55701,40.5,19.2,23.8,3.2,51.8,29169,27655,1514,5.2,57,34.7,87216,4.6,18356,72,9.2,1.9,6.3,574900,1666,"Diamond Bar, CA, USA",34.0286226,-117.8103367
90,Dixon,2013,Solano,0.792929293,0.690045249,"(0.65, 0.8]",Good,Good,17924,32.3,40.7,49.1,3,4,9450,8579,871,9.2,66.1,23.2,69742,8.6,6124,78.3,4.4,2.4,5.7,394400,1190,"Dixon, CA, USA",38.3957125,-121.809018
91,Downey,2013,Los Angeles,0.725806452,0.759090909,"(0.65, 0.8]",Good,Good,110921,33.2,69.5,17.7,3.4,7.9,54872,49557,5315,9.7,57.7,26.6,59674,10,34836,57.3,3.9,19,4.8,522800,1139,"Downey, CA, USA",33.9400143,-118.1325688
92,Dublin,2013,Alameda,0.737288136,0.717687075,"(0.65, 0.8]",Good,Good,42657,34.6,12.8,50.8,7.9,23.2,21399,19986,1413,6.6,62.8,29.5,107754,3.9,14061,54.4,12,17.2,5.6,652800,1702,"Dublin, CA, USA",37.7021521,-121.9357918
93,East Palo Alto,2013,San Mateo,0.858823529,0.920854271,"(0.8, 1.0]",Great,Great,27894,28,61.6,7.4,17.1,3.4,13802,12473,1329,9.6,59.6,20.2,48734,16.6,8413,53.9,4.2,25.4,4.7,525600,1154,"East Palo Alto, CA, USA",37.4688273,-122.1410751
94,El Cajon,2013,San Diego,0.668918919,0.640957447,"(0.65, 0.8]",Okay,Good,97932,33,31.2,53.4,5.4,4.5,46866,41708,5158,11,57,23.5,47048,21.3,35490,40.8,4.9,22.2,4.5,388900,1017,"El Cajon, CA, USA",32.7947731,-116.9625269
96,El Monte,2013,Los Angeles,0.691176471,0.674576271,"(0.65, 0.8]",Good,Good,113888,31.6,68.7,5.1,0.5,24.8,53657,48580,5077,9.5,51.8,28.3,42750,20.7,28810,56,12.8,10.1,4.5,396600,1037,"El Monte, CA, USA",34.0745997,-118.0534304
